country_code,year,value
SSF,1990,66192.17760113062
SSF,2000,85988.75594956763
SSF,2015,115031.11206681326
SST,1990,3603.6064022700743
SST,2000,4234.406410460202
SST,2015,5135.313536818497
STP,1990,8.49129305885
STP,2000,12.00397061289
STP,2015,10.250144466754
SUR,1990,126.23870024954
SUR,2000,179.48168035293
SUR,2015,261.3952571006
SVK,1990,1602.722105864
SVK,2000,1666.238739195
SVK,2015,1805.386355954
SVN,1990,735.43864021051
SVN,2000,763.12914231511
SVN,2015,804.81156983879
SWE,1990,3771.8122801669
SWE,2000,3846.6625794668
SWE,2015,4064.228260083
SWZ,1990,82.6204962246
SWZ,2000,126.921333477
SWZ,2015,177.918670865
SXM,1990,19.960950428601
SXM,2000,22.489805901201
SXM,2015,24.87416134002
SYC,1990,8.770279677587
SYC,2000,12.09646166302
SYC,2015,13.36753015034
SYR,1990,3065.48125082471
SYR,2000,4189.8084837048
SYR,2015,5092.2501822119
TCA,1990,0.0
TCA,2000,9.88598269166
TCA,2015,24.42843303038
TCD,1990,528.105601288
TCD,2000,705.178164059
TCD,2015,948.824137612
TEA,1990,458840.51363433606
TEA,2000,561383.9654841274
TEA,2015,671093.3524865238
TEC,1990,136831.92482053305
TEC,2000,146397.22985728408
TEC,2015,152847.2423803194
TGO,1990,563.69570918782
TGO,2000,728.3337347472
TGO,2015,895.2206285914
THA,1990,12420.820841777
THA,2000,16567.840710208
THA,2015,19506.66092189
TJK,1990,2447.739098735
TJK,2000,2983.00338548
TJK,2015,3745.362280764
TKM,1990,1275.047336794
TKM,2000,1743.072906522
TKM,2015,2004.623641174
TLA,1990,88889.71703426928
TLA,2000,107751.62566529348
TLA,2015,126930.47163072336
TLS,1990,41.637910283672
TLS,2000,58.74173346666
TLS,2015,74.47177288071
TMN,1990,56413.332412395
TMN,2000,78940.36439661245
TMN,2015,115579.36280946534
TON,1990,29.07690714389
TON,2000,26.05533072814
TON,2015,29.64733846208
TSA,1990,149819.81523179004
TSA,2000,181616.21718237043
TSA,2015,235521.7461594447
TSS,1990,66192.17760113064
TSS,2000,85988.75594956764
TSS,2015,115031.1120668133
TTO,1990,648.60209913889
TTO,2000,715.56264136699
TTO,2015,812.96086791395
TUN,1990,2135.1017614404
TUN,2000,2481.176695368
TUN,2015,2877.948643634
TUR,1990,10117.1582532431
TUR,2000,13051.678934934
TUR,2015,15460.688239453
TUV,1990,0.0
TUV,2000,0.0
TUV,2015,0.0
TZA,1990,2743.6695288778
TZA,2000,3766.2190012778
TZA,2015,5282.8699697124
UGA,1990,1690.70118101
UGA,2000,2506.723587437
UGA,2015,3854.11813924
UKR,1990,17618.8557873471
UKR,2000,17214.0328453386
UKR,2015,16271.2950148036
UMC,1990,584587.1635581845
UMC,2000,708249.6621229266
UMC,2015,838315.1235308669
URY,1990,836.6392554592
URY,2000,953.2953664712
URY,2015,1017.8713686083
USA,1990,145961.87923442
USA,2000,165933.172326772
USA,2015,186573.446684379
UZB,1990,10833.61842591
UZB,2000,13159.14531138
UZB,2015,15432.20254693
VCT,1990,58.091228270678
VCT,2000,67.743209397148
VCT,2015,68.762647893978
VEN,1990,4545.0385254921
VEN,2000,5449.132491294
VEN,2015,6248.974133367
VGB,1990,0.0
VGB,2000,7.26270665788
VGB,2015,14.44612027988
VIR,1990,75.44978137939
VIR,2000,82.49559979955
VIR,2015,86.3699534747
VNM,1990,19737.48115501
VNM,2000,24722.19864016
VNM,2015,28615.40605963
VUT,1990,11.13707165793
VUT,2000,17.942869940746
VUT,2015,27.94289546269
WLD,1990,1365096.9824496445
WLD,2000,1609822.0224045322
WLD,2015,1907334.0257958034
WSM,1990,15.22739576177
WSM,2000,17.16251509641
WSM,2015,46.6826444205
YEM,1990,886.97293582933
YEM,2000,1214.3049454725
YEM,2015,1795.3632958403
ZAF,1990,10324.5223022098
ZAF,2000,13237.851396307
ZAF,2015,15118.6620802909
ZMB,1990,1433.01889086
ZMB,2000,1684.217586647
ZMB,2015,2079.135102238
ZWE,1990,1384.308393719
ZWE,2000,1714.541408567
ZWE,2015,2024.485896677
